date,o3,no,no2,co,pm10,pm2.5,code
2018-10-01 00:00:00,,,,,,,66
2018-10-01 01:00:00,,,,,40.0,,66
2018-10-01 02:00:00,,34.0,34.0,,73.0,,66
2018-10-01 03:00:00,,35.0,37.0,,40.0,,66
2018-10-01 04:00:00,,83.0,40.0,,45.0,,66
2018-10-01 05:00:00,,119.0,37.0,,36.0,,66
2018-10-01 06:00:00,,158.0,55.0,,47.0,,66
2018-10-01 07:00:00,,144.0,56.0,,42.0,,66
2018-10-01 08:00:00,,71.0,44.0,,39.0,,66
2018-10-01 09:00:00,,116.0,56.0,,31.0,,66
2018-10-01 10:00:00,,95.0,57.0,,26.0,,66
2018-10-01 11:00:00,,130.0,80.0,,31.0,,66
2018-10-01 12:00:00,,83.0,85.0,,58.0,,66
2018-10-01 13:00:00,,69.0,75.0,,36.0,,66
2018-10-01 14:00:00,,38.0,46.0,,25.0,,66
2018-10-01 15:00:00,,64.0,60.0,,31.0,,66
2018-10-01 16:00:00,,47.0,58.0,,27.0,,66
2018-10-01 17:00:00,,121.0,92.0,,47.0,,66
2018-10-01 18:00:00,,60.0,86.0,,80.0,,66
2018-10-01 19:00:00,,115.0,83.0,,58.0,,66
2018-10-01 20:00:00,,269.0,83.0,,126.0,,66
2018-10-01 21:00:00,,291.0,80.0,,143.0,,66
2018-10-01 22:00:00,,361.0,76.0,,153.0,,66
2018-10-01 23:00:00,,301.0,82.0,,157.0,,66
2018-10-02 00:00:00,,246.0,68.0,,144.0,,66
2018-10-02 01:00:00,,,,,57.0,,66
2018-10-02 02:00:00,,21.0,38.0,,74.0,,66
2018-10-02 03:00:00,,21.0,39.0,,41.0,,66
2018-10-02 04:00:00,,51.0,53.0,,28.0,,66
2018-10-02 05:00:00,,36.0,47.0,,32.0,,66
2018-10-02 06:00:00,,47.0,49.0,,36.0,,66
2018-10-02 07:00:00,,73.0,55.0,,34.0,,66
2018-10-02 08:00:00,,49.0,54.0,,55.0,,66
2018-10-02 09:00:00,,51.0,59.0,,44.0,,66
2018-10-02 10:00:00,,45.0,54.0,,60.0,,66
2018-10-02 11:00:00,,23.0,49.0,,82.0,,66
2018-10-02 12:00:00,,18.0,33.0,,62.0,,66
2018-10-02 13:00:00,,17.0,29.0,,68.0,,66
2018-10-02 14:00:00,,13.0,36.0,,65.0,,66
2018-10-02 15:00:00,,17.0,32.0,,80.0,,66
2018-10-02 16:00:00,,36.0,52.0,,70.0,,66
2018-10-02 17:00:00,,31.0,38.0,,62.0,,66
2018-10-02 18:00:00,,63.0,58.0,,57.0,,66
2018-10-02 19:00:00,,23.0,44.0,,57.0,,66
2018-10-02 20:00:00,,55.0,57.0,,39.0,,66
2018-10-02 21:00:00,,94.0,75.0,,48.0,,66
2018-10-02 22:00:00,,107.0,54.0,,77.0,,66
2018-10-02 23:00:00,,94.0,47.0,,64.0,,66
2018-10-03 00:00:00,,52.0,46.0,,52.0,,66
2018-10-03 01:00:00,,,,,46.0,,66
2018-10-03 02:00:00,,62.0,41.0,,111.0,,66
2018-10-03 03:00:00,,62.0,49.0,,55.0,,66
2018-10-03 04:00:00,,41.0,44.0,,70.0,,66
2018-10-03 05:00:00,,67.0,38.0,,61.0,,66
2018-10-03 06:00:00,,113.0,33.0,,60.0,,66
2018-10-03 07:00:00,,175.0,60.0,,80.0,,66
2018-10-03 08:00:00,,95.0,55.0,,80.0,,66
2018-10-03 09:00:00,,50.0,42.0,,53.0,,66
2018-10-03 10:00:00,,50.0,54.0,,44.0,,66
2018-10-03 11:00:00,,31.0,37.0,,79.0,,66
2018-10-03 12:00:00,,22.0,43.0,,96.0,,66
2018-10-03 13:00:00,,23.0,44.0,,88.0,,66
2018-10-03 14:00:00,,28.0,47.0,,148.0,,66
2018-10-03 15:00:00,,11.0,27.0,,141.0,,66
2018-10-03 16:00:00,,28.0,43.0,,42.0,,66
2018-10-03 17:00:00,,27.0,41.0,,39.0,,66
2018-10-03 18:00:00,,18.0,44.0,,32.0,,66
2018-10-03 19:00:00,,57.0,60.0,,15.0,,66
2018-10-03 20:00:00,,53.0,57.0,,25.0,,66
2018-10-03 21:00:00,,61.0,59.0,,20.0,,66
2018-10-03 22:00:00,,73.0,70.0,,28.0,,66
2018-10-03 23:00:00,,127.0,66.0,,47.0,,66
2018-10-04 00:00:00,,112.0,58.0,,45.0,,66
2018-10-04 01:00:00,,,,,56.0,,66
2018-10-04 02:00:00,,28.0,37.0,,83.0,,66
2018-10-04 03:00:00,,29.0,44.0,,43.0,,66
2018-10-04 04:00:00,,70.0,56.0,,34.0,,66
2018-10-04 05:00:00,,97.0,63.0,,39.0,,66
2018-10-04 06:00:00,,59.0,43.0,,29.0,,66
2018-10-04 07:00:00,,108.0,52.0,,16.0,,66
2018-10-04 08:00:00,,36.0,40.0,,15.0,,66
2018-10-04 09:00:00,,62.0,51.0,,8.0,,66
2018-10-04 10:00:00,,52.0,39.0,,20.0,,66
2018-10-04 11:00:00,,29.0,36.0,,3.0,,66
2018-10-04 12:00:00,,8.0,16.0,,11.0,,66
2018-10-04 13:00:00,,9.0,11.0,,2.0,,66
2018-10-04 14:00:00,,14.0,15.0,,1.0,,66
2018-10-04 15:00:00,,28.0,25.0,,17.0,,66
2018-10-04 16:00:00,,26.0,27.0,,29.0,,66
2018-10-04 17:00:00,,45.0,39.0,,23.0,,66
2018-10-04 18:00:00,,44.0,44.0,,5.0,,66
2018-10-04 19:00:00,,84.0,60.0,,15.0,,66
2018-10-04 20:00:00,,15.0,31.0,,2.0,,66
2018-10-04 21:00:00,,49.0,46.0,,15.0,,66
2018-10-04 22:00:00,,3.0,22.0,,10.0,,66
2018-10-04 23:00:00,,57.0,40.0,,9.0,,66
2018-10-05 00:00:00,,72.0,50.0,,32.0,,66
2018-10-05 01:00:00,,,,,44.0,,66
2018-10-05 02:00:00,,59.0,44.0,,77.0,,66
2018-10-05 03:00:00,,95.0,55.0,,32.0,,66
2018-10-05 04:00:00,,51.0,45.0,,36.0,,66
2018-10-05 05:00:00,,45.0,46.0,,15.0,,66
2018-10-05 06:00:00,,66.0,53.0,,15.0,,66
2018-10-05 07:00:00,,83.0,62.0,,10.0,,66
2018-10-05 08:00:00,,97.0,68.0,,16.0,,66
2018-10-05 09:00:00,,23.0,34.0,,9.0,,66
2018-10-05 10:00:00,,38.0,40.0,,12.0,,66
2018-10-05 11:00:00,,41.0,35.0,,15.0,,66
2018-10-05 12:00:00,,42.0,41.0,,14.0,,66
2018-10-05 13:00:00,,10.0,16.0,,12.0,,66
2018-10-05 14:00:00,,54.0,37.0,,14.0,,66
2018-10-05 15:00:00,,42.0,38.0,,16.0,,66
2018-10-05 16:00:00,,28.0,29.0,,21.0,,66
2018-10-05 17:00:00,,36.0,37.0,,24.0,,66
2018-10-05 18:00:00,,21.0,33.0,,15.0,,66
2018-10-05 19:00:00,,24.0,34.0,,18.0,,66
2018-10-05 20:00:00,,13.0,32.0,,26.0,,66
2018-10-05 21:00:00,,41.0,38.0,,25.0,,66
2018-10-05 22:00:00,,129.0,44.0,,56.0,,66
2018-10-05 23:00:00,,114.0,37.0,,49.0,,66
2018-10-06 00:00:00,,94.0,33.0,,47.0,,66
2018-10-06 01:00:00,,,,,57.0,,66
2018-10-06 02:00:00,,119.0,36.0,,93.0,,66
2018-10-06 03:00:00,,106.0,35.0,,62.0,,66
2018-10-06 04:00:00,,89.0,32.0,,56.0,,66
2018-10-06 05:00:00,,97.0,31.0,,47.0,,66
2018-10-06 06:00:00,,176.0,42.0,,38.0,,66
2018-10-06 07:00:00,,206.0,53.0,,60.0,,66
2018-10-06 08:00:00,,123.0,35.0,,56.0,,66
2018-10-06 09:00:00,,74.0,39.0,,46.0,,66
2018-10-06 10:00:00,,64.0,50.0,,27.0,,66
2018-10-06 11:00:00,,40.0,39.0,,15.0,,66
2018-10-06 12:00:00,,30.0,32.0,,21.0,,66
2018-10-06 13:00:00,,34.0,33.0,,21.0,,66
2018-10-06 14:00:00,,30.0,31.0,,10.0,,66
2018-10-06 15:00:00,,27.0,45.0,,7.0,,66
2018-10-06 16:00:00,,14.0,28.0,,10.0,,66
2018-10-06 17:00:00,,5.0,10.0,,7.0,,66
2018-10-06 18:00:00,,46.0,28.0,,8.0,,66
2018-10-06 19:00:00,,6.0,8.0,,15.0,,66
2018-10-06 20:00:00,,4.0,16.0,,10.0,,66
